title,studio,domestic_gross,foreign_gross,year,movie_id,primary_title,start_year,runtime_minutes,genres,averagerating,numvotes
before we go,RTWC,37200.0,0.0,2015,tt0443465,before we go,2014,95.0,"Comedy,Drama,Romance",6.8,45181
before we go,RTWC,37200.0,0.0,2015,tt4453750,before we go,2014,84.0,"Documentary,Drama,News",7.0,22
knock knock,LGP,36300.0,0.0,2015,tt3605418,knock knock,2015,99.0,"Drama,Thriller",4.9,68328
knock knock,LGP,36300.0,0.0,2015,tt6096414,knock knock,2017,55.0,Horror,6.0,10
welcome to leith,FRun,36000.0,0.0,2015,tt3962848,welcome to leith,2015,85.0,Documentary,7.0,3512
wild city,WGUSA,34900.0,0.0,2015,tt3801934,wild city,2015,120.0,"Action,Crime,Thriller",5.8,729
the forbidden room,KL,34400.0,0.0,2015,tt3066630,the forbidden room,2015,130.0,"Comedy,Mystery",6.1,2676
song one,TFA,32299.0,0.0,2015,tt2182972,song one,2014,86.0,"Drama,Music",5.8,8559
paulette,Cohen,29500.0,0.0,2015,tt2215395,paulette,2012,87.0,"Comedy,Crime",6.6,6279
the cut,Strand,28100.0,0.0,2015,tt2245171,the cut,2014,138.0,"Adventure,Drama,History",6.3,4769
the keeping room,Drft.,27200.0,0.0,2015,tt2488778,the keeping room,2014,95.0,"Drama,Western",6.0,5690
big game,EC,24600.0,0.0,2015,tt2088003,big game,2014,90.0,"Action,Adventure,Crime",5.4,28615
kill me three times,Magn.,24300.0,0.0,2015,tt2393845,kill me three times,2014,90.0,"Action,Comedy,Crime",5.9,18238
court,Zeit.,22900.0,0.0,2015,tt3717068,court,2014,116.0,Drama,7.7,3256
salut d'amour,CJ,22500.0,0.0,2015,tt4695462,salut d'amour,2015,112.0,"Drama,Romance",7.3,342
mediterranea,IFC,22100.0,0.0,2015,tt3486542,mediterranea,2015,107.0,Drama,6.5,1234
the little death,Magn.,18200.0,0.0,2015,tt1550903,the little death,2010,75.0,Drama,6.0,41
the little death,Magn.,18200.0,0.0,2015,tt2785032,the little death,2014,96.0,"Comedy,Drama,Romance",7.1,23607
strangerland,Alc,17500.0,0.0,2015,tt2325977,strangerland,2015,112.0,"Drama,Mystery,Thriller",5.2,7999
eastern boys,FRun,16800.0,0.0,2015,tt2991092,eastern boys,2013,128.0,"Crime,Drama,Romance",6.9,2878
extraction,LGP,16800.0,0.0,2015,tt2823574,extraction,2013,106.0,Action,4.8,997
extraction,LGP,16800.0,0.0,2015,tt3304610,extraction,2015,87.0,"Action,Crime,Thriller",5.1,16
extraction,LGP,16800.0,0.0,2015,tt4382872,extraction,2015,92.0,"Action,Adventure,Crime",4.1,8564
eva,Wein.,16700.0,0.0,2015,tt1105740,eva,2010,111.0,Drama,5.4,334
eva,Wein.,16700.0,0.0,2015,tt1298554,eva,2011,94.0,"Drama,Fantasy,Sci-Fi",6.7,8938
eva,Wein.,16700.0,0.0,2015,tt5143826,eva,2016,85.0,"Drama,Romance",5.7,28
eva,Wein.,16700.0,0.0,2015,tt6414890,eva,2018,100.0,"Drama,Romance",4.6,643
the world of kanako,Drft.,16600.0,0.0,2015,tt3108158,the world of kanako,2014,118.0,"Drama,Mystery,Thriller",6.6,3684
zombeavers,Free,14900.0,0.0,2015,tt2784512,zombeavers,2014,77.0,"Action,Adventure,Comedy",4.8,14825
the hallow,IFC,13900.0,0.0,2015,tt2474976,the hallow,2015,97.0,Horror,5.7,13848
amour fou,FM,13700.0,0.0,2015,tt3003800,amour fou,2014,96.0,"Comedy,Drama",6.3,1230
arabian nights: volume 1 - the restless one,KL,12300.0,0.0,2015,tt3284178,arabian nights: volume 1 - the restless one,2015,125.0,Drama,7.0,1815
of horses and men,MBox,11900.0,0.0,2015,tt3074732,of horses and men,2013,81.0,"Comedy,Drama,Romance",6.8,2743
marie's story,FM,11700.0,0.0,2015,tt3132714,marie's story,2014,95.0,"Biography,Drama",7.5,1456
1001 grams,KL,11000.0,0.0,2015,tt3346824,1001 grams,2014,93.0,Drama,6.3,1301
empire of lust,CJ,10700.0,0.0,2015,tt3544326,empire of lust,2015,113.0,"Action,Drama,Romance",5.9,279
the forecaster,FOR,10200.0,0.0,2015,tt4103404,the forecaster,2014,100.0,"Biography,Documentary",6.8,1108
every thing will be fine,IFC,9200.0,0.0,2015,tt1707380,every thing will be fine,2015,118.0,Drama,5.5,5438
every thing will be fine,IFC,9200.0,0.0,2015,tt4294604,every thing will be fine,2015,90.0,Drama,6.6,24
the lesson,FM,9000.0,0.0,2015,tt3958072,the lesson,2014,111.0,Drama,7.2,2101
the lesson,FM,9000.0,0.0,2015,tt4078160,the lesson,2015,97.0,"Drama,Horror,Thriller",4.3,1083
an eye for beauty,MR,9000.0,0.0,2015,tt2414040,an eye for beauty,2014,102.0,Drama,5.5,1105
northern soul,Free,8900.0,0.0,2015,tt1837613,northern soul,2014,102.0,"Drama,Music",6.4,3319
the girl in the book,Free,8200.0,0.0,2015,tt2980554,the girl in the book,2015,86.0,Drama,6.2,3684
steak (r)evolution,KL,8000.0,0.0,2015,tt2827708,steak (r)evolution,2014,135.0,Documentary,6.9,456
